Project_Name,Property_Type,BHK,Location,Area,Status,Floor,Furnishing,Facing,Transaction,Price_Per_Sqft
,Flat,4 BHK,Kondapur,2306 sqft,Poss. by Mar '27,29 out of 47,Unfurnished,East,New Property,"₹8,500 per sqft"
,Flat,3 BHK,Patancheruvu,1655 sqft,Ready to Move,5 out of 10,Unfurnished,East,New Property,"₹5,500 per sqft"
,Flat,3 BHK,Jubilee Hills,1850 sqft,Ready to Move,18 out of 23,Unfurnished,North,New Property,"₹9,302 per sqft"
,Flat,3 BHK,Kokapet,1128 sqft,Ready to Move,20 out of 40,Unfurnished,East,New Property,"₹12,000 per sqft"
,Flat,3 BHK,Miyapur,1494 sqft,Ready to Move,4 out of 5,Unfurnished,East,New Property,"₹4,999 per sqft"
,Flat,4 BHK,Hitech City,3090 sqft,Ready to Move,16 out of 18,Semi-Furnished,West,Resale,"₹16,181 per sqft"
,Flat,2 BHK,Tellapur,1350 sqft,Ready to Move,6 out of 9,Unfurnished,West,New Property,"₹7,274 per sqft"
,Flat,2 BHK,Gachibowli,1115 sqft,Ready to Move,15 out of 17,Semi-Furnished,East,Resale,"₹11,749 per sqft"
,Flat,3 BHK,Osman Nagar,1600 sqft,Poss. by Jan '30,5 out of 13,Unfurnished,East,New Property,"₹7,200 per sqft"
,Villa,4 BHK,Kompally Hyderabad,3800 sqft,Poss. by Dec '28,,Unfurnished,East,New Property,"₹7,996 per sqft"
,Flat,3 BHK,Manikonda Jagir,2081 sqft,Ready to Move,,Unfurnished,,New Property,"₹10,956 per sqft"
,Flat,3 BHK,Nalagandla,2878 sqft,Poss. by Aug '28,,Unfurnished,,New Property,"₹11,002 per sqft"
,Flat,4 BHK,Kokapet,3465 sqft,Poss. by Dec '28,,Unfurnished,,New Property,"₹11,106 per sqft"
,Flat,3 BHK,Kollur,2100 sqft,Poss. by Dec '26,,Unfurnished,,New Property,"₹6,999 per sqft"
,Flat,3 BHK,Nizampet,1565 sqft,Poss. by Dec '26,,Semi-Furnished,,New Property,"₹6,800 per sqft"
